hometeam,awayteam,offense_differential,defense_differential,midfield_differential,fifa_rank_differential,points_differential,goalkeeper_differential,possession_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,score_differential
Qatar,Ecuador,-2,-4,-4,6,-25,-4,2.4000000000000057,-0.40000000000000036,2.200000000000001,-1.2000000000000002,-0.2,-5.8,-1.4
Senegal,Netherlands,-3,-6,-6,10,-110,9,-19,-1.4000000000000004,-5.200000000000001,1,-0.2,4.200000000000001,0.20000000000000018
England,Iran,5,10,11,-15,164,8,4.599999999999994,-1.7999999999999998,-1.1999999999999993,0.19999999999999996,-0.2,-5.199999999999999,0
USA,Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,Australia,14,10,11,-34,271,9,4.600000000000001,-0.3999999999999999,4.800000000000001,0.19999999999999996,0,-2.4000000000000004,0.8
Denmark,Tunisia,5,8,9,-20,159,14,6,2.2,1.200000000000001,-0.19999999999999996,0,-4.199999999999999,0.40000000000000013
Mexico,Poland,-2,2,2,-13,96,-6,2.3999999999999986,1.4,5.199999999999999,0.8,0,0.7999999999999989,-0.3999999999999999
Argentina,Saudi Arabia,15,12,11,-48,336,13,-6.600000000000001,2.4,2.1999999999999993,2.2,0,5.800000000000001,0.5999999999999999
Belgium,Canada,9,3,7,-39,341,13,3.5999999999999943,1,-0.5999999999999996,0,-0.2,0,1.4000000000000001
Spain,Costa Rica,10,12,9,-24,212,-5,28.6,2.1999999999999997,7.4,-1.2,0,-4.6,1.4
Germany,Japan,9,8,6,-13,91,14,18.400000000000006,-0.39999999999999947,4.199999999999999,0.19999999999999996,0.2,1,0
Morocco,Croatia,-1,-10,0,10,-82,4,-11,0,-4.399999999999999,-0.19999999999999973,0,1.1999999999999993,0.6000000000000001
Switzerland,Cameroon,2,3,6,-28,164,4,16.800000000000004,1.1999999999999997,6.4,0.3999999999999999,0,-1,0.8
Uruguay,South Korea,2,8,4,-14,108,8,3,-3.5999999999999996,-4.8,-0.8,0.2,-3.3999999999999986,0
Portugal,Ghana,2,7,9,-52,283,10,4.799999999999997,-0.6000000000000005,-1.799999999999999,-0.40000000000000013,0,3.1999999999999993,0.19999999999999996
Brazil,Serbia,5,5,8,-20,278,11,15.799999999999997,2.2,-0.5999999999999996,-0.7999999999999998,-0.2,-2,0.8000000000000003
Wales,Iran,-3,3,5,-1,5,0,-8.200000000000003,-2.2,-1.799999999999999,-0.19999999999999996,0,-3.5999999999999996,-0.5999999999999999
Qatar,Senegal,-6,-5,-6,32,-145,-16,12.600000000000001,1.2000000000000002,4.800000000000001,-0.20000000000000018,0,-9.400000000000002,-0.20000000000000018
Netherlands,Ecuador,7,7,8,-36,230,3,8.800000000000004,-0.20000000000000018,2.6000000000000014,-2,0,-0.5999999999999996,-1.4
England,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,Australia,0,3,0,-8,19,-9,-4.399999999999999,-1.2000000000000002,1.5999999999999996,-0.6000000000000001,0,0.1999999999999993,0.8
Poland,Saudi Arabia,10,3,4,-25,111,15,-11.399999999999999,-1.2000000000000002,-4,0.7999999999999999,0,2.8000000000000007,0.3999999999999999
France,Denmark,9,-1,2,-6,93,4,3,-1.4,2,1,0,1.5999999999999996,-0.40000000000000013
Argentina,Mexico,7,7,5,-10,129,4,2.3999999999999986,2.2,1,0.6000000000000001,0,2.200000000000001,0.5999999999999999
Japan,Costa Rica,2,4,2,-7,56,-12,10.399999999999999,2.4,2.5999999999999996,-0.8,0,-6.199999999999999,0.3999999999999999
Belgium,Morocco,5,8,1,-20,253,6,7.599999999999994,-0.9999999999999996,-3,-0.40000000000000013,0,-2.5999999999999996,-0.3999999999999999
Croatia,Canada,5,5,6,-29,170,3,7,1.9999999999999996,6.799999999999999,0.5999999999999999,-0.2,1.4000000000000004,1.2
Spain,Germany,-1,0,1,-4,65,-7,-0.20000000000000284,0.1999999999999993,0.6000000000000014,-0.5999999999999999,-0.2,0.5999999999999996,1
Cameroon,Serbia,-5,-5,-3,22,-92,4,-4.400000000000006,-0.6000000000000001,-5,-0.7999999999999998,0,0.7999999999999989,-0.5999999999999999
South Korea,Ghana,-2,-2,0,-33,137,-1,-0.6000000000000014,1.3999999999999995,-1.5999999999999996,0.8,0,7.399999999999999,-0.6000000000000001
Brazil,Switzerland,8,7,5,-14,206,3,3.3999999999999986,1.6000000000000005,-2,-0.3999999999999999,-0.2,-1.799999999999999,0.6000000000000001
Portugal,Uruguay,2,1,5,-5,38,3,2.3999999999999986,1.5999999999999996,4.6000000000000005,-0.40000000000000013,-0.2,-0.8000000000000007,0.8
Wales,England,-8,-7,-6,14,-159,-8,-12.799999999999997,-0.40000000000000036,-0.5999999999999996,-0.3999999999999999,0.2,1.5999999999999996,-0.5999999999999999
Iran,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,Senegal,-4,-1,-2,26,-120,-12,10.199999999999996,1.6000000000000005,2.5999999999999996,1,0.2,-3.6000000000000014,1.1999999999999997
Netherlands,Qatar,9,11,12,-42,255,7,6.399999999999999,0.20000000000000018,0.40000000000000036,-0.7999999999999999,0.2,5.2,0
Australia,Denmark,-5,-11,-9,28,-178,-5,-1.6000000000000014,-1,-2.8000000000000007,0.8,0,4,-1.2000000000000002
Tunisia,France,-14,-7,-11,26,-252,-18,-9,-0.8000000000000003,-3.200000000000001,-0.8,0,2.5999999999999996,0
Poland,Argentina,-5,-9,-7,23,-225,2,-4.799999999999997,-3.6,-6.199999999999999,-1.4000000000000001,0,-3,-0.19999999999999996
Saudi Arabia,Mexico,-8,-5,-6,38,-207,-9,9,-0.19999999999999973,-1.1999999999999993,-1.6,0,-3.5999999999999996,0
Croatia,Belgium,-4,2,-1,10,-171,-10,3.4000000000000057,0.9999999999999996,7.399999999999999,0.5999999999999999,0,1.4000000000000004,-0.20000000000000018
Canada,Morocco,-4,5,-6,19,-88,-7,4,-1.9999999999999996,-2.4000000000000004,-0.40000000000000013,0.2,-2.5999999999999996,-1.8
Japan,Spain,-8,-8,-7,17,-156,-7,-18.200000000000003,0.20000000000000018,-4.800000000000001,0.3999999999999999,0,-1.5999999999999996,-1
Costa Rica,Germany,-11,-12,-8,20,-147,-2,-28.800000000000004,-2.0000000000000004,-6.799999999999999,0.6000000000000001,-0.2,5.199999999999999,-0.3999999999999999
Ghana,Uruguay,0,-6,-4,47,-245,-7,-2.3999999999999986,2.2,6.3999999999999995,0,-0.2,-4,0.6000000000000001
South Korea,Portugal,-4,-9,-9,19,-146,-11,-5.399999999999999,2,0.1999999999999993,1.2000000000000002,0,4.199999999999999,-0.8
Serbia,Switzerland,3,2,-3,6,-72,-8,-12.399999999999999,-0.5999999999999996,-1.4000000000000004,0.3999999999999999,0,0.20000000000000107,-0.20000000000000018
Cameroon,Brazil,-10,-10,-11,42,-370,-7,-20.200000000000003,-2.8000000000000003,-4.4,0,0.2,2.799999999999999,-1.4000000000000001
United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
